Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
Netherlands vs Pakistan,5,3,2,0
Netherlands vs Papua New Guinea,7,3,3,1
Netherlands vs Scotland,26,13,12,1
Netherlands vs Singapore,1,1,0,0
Netherlands vs South Africa,6,3,2,1
Netherlands vs Sri Lanka,6,4,2,0
Netherlands vs Thailand,16,7,9,0
Netherlands vs Uganda,2,1,1,0
Netherlands vs United Arab Emirates,11,3,7,1
Netherlands vs United States of America,6,4,2,0
Netherlands vs Vanuatu,1,1,0,0
Netherlands vs West Indies,4,1,2,1
Netherlands vs Zimbabwe,11,6,4,1
New Zealand vs Pakistan,87,49,32,6
New Zealand vs Papua New Guinea,1,0,1,0
New Zealand vs Scotland,5,4,1,0
New Zealand vs South Africa,50,23,23,4
New Zealand vs Sri Lanka,67,41,20,6
New Zealand vs Uganda,1,0,1,0
New Zealand vs United Arab Emirates,3,2,1,0
New Zealand vs West Indies,41,23,15,3
New Zealand vs Zimbabwe,6,1,5,0
Nigeria vs Oman,1,0,1,0
Nigeria vs Rwanda,14,7,6,1
Nigeria vs Sierra Leone,11,6,5,0
Nigeria vs St Helena,1,1,0,0
Nigeria vs Tanzania,7,2,3,2
Nigeria vs Uganda,14,6,8,0
Nigeria vs United Arab Emirates,1,1,0,0
Nigeria vs Zimbabwe,4,1,3,0
Norway vs Slovenia,1,0,1,0
Norway vs Spain,3,3,0,0
Norway vs Sweden,2,1,1,0
Norway vs Switzerland,1,1,0,0
Oman vs Papua New Guinea,10,4,6,0
Oman vs Philippines,1,0,1,0
Oman vs Qatar,3,2,1,0
Oman vs Saudi Arabia,4,1,3,0
Oman vs Scotland,14,4,8,2
Oman vs Singapore,2,1,1,0
Oman vs Sri Lanka,1,0,1,0
Oman vs United Arab Emirates,21,9,10,2
Oman vs United States of America,10,5,5,0
Oman vs West Indies,1,0,1,0
Oman vs Zimbabwe,1,1,0,0
Pakistan vs Scotland,3,3,0,0
Pakistan vs South Africa,67,36,30,1
Pakistan vs Sri Lanka,59,26,32,1
Pakistan vs Thailand,3,0,2,1
Pakistan vs United Arab Emirates,4,3,1,0
Pakistan vs United States of America,1,0,0,1
Pakistan vs West Indies,68,35,29,4
Pakistan vs Zimbabwe,37,20,15,2
Panama vs Suriname,1,1,0,0
Papua New Guinea vs Philippines,3,2,0,1
Papua New Guinea vs Samoa,2,1,1,0
Papua New Guinea vs Scotland,16,8,8,0
Papua New Guinea vs Singapore,3,2,1,0
Papua New Guinea vs Thailand,1,0,1,0
Papua New Guinea vs Uganda,2,0,2,0
Papua New Guinea vs United Arab Emirates,15,9,6,0
Papua New Guinea vs United States of America,14,9,4,1
Papua New Guinea vs Vanuatu,6,3,3,0
Papua New Guinea vs West Indies,2,0,2,0
Papua New Guinea vs Zimbabwe,7,3,3,1
Philippines vs Singapore,3,1,2,0
Philippines vs South Korea,2,2,0,0
Philippines vs Vanuatu,4,1,3,0
Portugal vs Romania,1,0,1,0
Portugal vs Spain,3,2,1,0
Qatar vs Saudi Arabia,4,2,2,0
Qatar vs Singapore,5,1,4,0
Qatar vs Tanzania,2,2,0,0
Qatar vs Thailand,1,0,1,0
Qatar vs United Arab Emirates,7,5,2,0
Romania vs Serbia,3,2,1,0
Romania vs Sweden,1,0,1,0
Romania vs Switzerland,1,0,1,0
Romania vs Turkey,1,1,0,0
Rwanda vs Seychelles,2,2,0,0
Rwanda vs Sierra Leone,3,2,1,0
Rwanda vs St Helena,1,1,0,0
Rwanda vs Swaziland,1,0,1,0
Rwanda vs Tanzania,13,9,4,0
Rwanda vs Uganda,23,13,10,0
Rwanda vs Zimbabwe,4,4,0,0
Samoa vs Vanuatu,6,2,4,0
Saudi Arabia vs Thailand,3,0,3,0
Saudi Arabia vs United Arab Emirates,4,2,2,0
Scotland vs Singapore,1,0,1,0
Scotland vs South Africa,1,1,0,0
Scotland vs Sri Lanka,6,3,3,0
Scotland vs Thailand,5,2,3,0
Scotland vs Uganda,2,1,1,0
Scotland vs United Arab Emirates,20,14,6,0
Scotland vs United States of America,12,8,4,0
Scotland vs West Indies,4,2,2,0
Scotland vs Zimbabwe,9,4,4,1
Serbia vs Switzerland,1,1,0,0
Serbia vs Turkey,2,1,1,0
Seychelles vs Swaziland,1,0,1,0
Seychelles vs Uganda,1,1,0,0
Seychelles vs Zimbabwe,1,1,0,0
Sierra Leone vs St Helena,1,0,1,0
Sierra Leone vs Tanzania,2,0,2,0
Sierra Leone vs Uganda,2,0,2,0
Singapore vs Thailand,3,1,2,0
Singapore vs United Arab Emirates,2,1,1,0
Singapore vs United States of America,1,1,0,0
Singapore vs Zimbabwe,3,2,1,0
Slovenia vs Sweden,1,0,1,0
South Africa vs Sri Lanka,63,40,21,2
South Africa vs Tanzania,1,0,1,0
South Africa vs Thailand,1,1,0,0
South Africa vs Uganda,1,1,0,0
South Africa vs United Arab Emirates,1,1,0,0
South Africa vs United States of America,1,1,0,0
South Africa vs West Indies,67,33,27,7
South Africa vs Zimbabwe,9,4,3,2
Spain vs Sweden,1,1,0,0
Sri Lanka vs Thailand,5,2,3,0
Sri Lanka vs Uganda,1,1,0,0
Sri Lanka vs United Arab Emirates,5,5,0,0
Sri Lanka vs United States of America,1,1,0,0
Sri Lanka vs West Indies,49,24,22,3
Sri Lanka vs Zimbabwe,25,5,17,3
Swaziland vs Uganda,1,0,1,0
Sweden vs Turkey,1,0,1,0
Tanzania vs Uganda,19,9,9,1
Tanzania vs Vanuatu,1,1,0,0
Tanzania vs Zimbabwe,5,1,4,0
Thailand vs Uganda,2,1,1,0
Thailand vs United Arab Emirates,7,5,2,0
Thailand vs United States of America,1,0,1,0
Thailand vs West Indies,1,0,1,0
Thailand vs Zimbabwe,11,6,5,0
Uganda vs United Arab Emirates,1,1,0,0
Uganda vs United States of America,1,0,1,0
Uganda vs West Indies,1,1,0,0
Uganda vs Zimbabwe,7,4,3,0
United Arab Emirates vs United States of America,15,6,8,1
United Arab Emirates vs Vanuatu,1,1,0,0
United Arab Emirates vs West Indies,5,2,3,0
United Arab Emirates vs Zimbabwe,11,5,6,0
United States of America vs West Indies,2,1,1,0
United States of America vs Zimbabwe,7,3,4,0
Vanuatu vs Zimbabwe,1,0,1,0
West Indies vs Zimbabwe,10,5,2,3
