Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
England vs South Africa,83,40,39,4
England vs Sri Lanka,52,19,27,6
England vs Thailand,1,1,0,0
England vs United States of America,1,0,1,0
England vs West Indies,84,36,43,5
Estonia vs Finland,1,0,1,0
Estonia vs Gibraltar,5,3,2,0
Estonia vs Guernsey,1,0,1,0
Estonia vs Isle of Man,2,0,2,0
Estonia vs Malta,1,0,1,0
Estonia vs Norway,2,1,1,0
Estonia vs Switzerland,1,1,0,0
Eswatini vs Gambia,1,0,1,0
Eswatini vs Ivory Coast,1,0,1,0
Eswatini vs Mozambique,3,2,1,0
Eswatini vs Nigeria,2,1,1,0
Eswatini vs Rwanda,1,1,0,0
Eswatini vs Sierra Leone,3,3,0,0
Eswatini vs St Helena,1,1,0,0
Eswatini vs Tanzania,2,2,0,0
Eswatini vs Zimbabwe,1,0,1,0
Fiji vs Indonesia,1,0,1,0
Fiji vs Japan,2,0,2,0
Fiji vs Papua New Guinea,2,0,2,0
Fiji vs Samoa,5,3,2,0
Fiji vs Vanuatu,3,2,1,0
Finland vs Greece,1,1,0,0
Finland vs Guernsey,1,1,0,0
Finland vs Italy,1,0,1,0
Finland vs Malta,1,0,1,0
Finland vs Norway,4,1,3,0
Finland vs Spain,1,1,0,0
Finland vs Sweden,6,1,4,1
France vs Germany,7,3,4,0
France vs Guernsey,1,1,0,0
France vs Ireland,1,0,1,0
France vs Isle of Man,1,1,0,0
France vs Italy,3,1,2,0
France vs Jersey,1,1,0,0
France vs Luxembourg,4,2,2,0
France vs Malta,6,5,1,0
France vs Netherlands,3,0,3,0
France vs Norway,3,2,1,0
France vs Romania,1,1,0,0
France vs Scotland,3,1,2,0
France vs Sweden,1,1,0,0
France vs Switzerland,2,0,2,0
France vs Turkey,2,2,0,0
Gambia vs Ghana,1,1,0,0
Gambia vs Kenya,1,1,0,0
Gambia vs Mozambique,2,1,1,0
Gambia vs Sierra Leone,1,0,1,0
Gambia vs Tanzania,1,0,1,0
Gambia vs Zimbabwe,1,1,0,0
Germany vs Gibraltar,1,1,0,0
Germany vs Guernsey,4,1,3,0
Germany vs Ireland,2,1,1,0
Germany vs Italy,11,3,8,0
Germany vs Jersey,7,4,3,0
Germany vs Netherlands,2,0,2,0
Germany vs Nigeria,1,0,1,0
Germany vs Norway,5,3,2,0
Germany vs Oman,4,0,4,0
Germany vs Philippines,1,0,1,0
Germany vs Scotland,3,1,2,0
Germany vs Spain,7,3,4,0
Germany vs Sweden,4,2,2,0
Germany vs Uganda,1,1,0,0
Germany vs United Arab Emirates,1,1,0,0
Ghana vs Kenya,2,0,2,0
Ghana vs Lesotho,1,1,0,0
Ghana vs Malawi,2,1,1,0
Ghana vs Mali,1,0,1,0
Ghana vs Mozambique,2,1,1,0
Ghana vs Namibia,1,0,1,0
Ghana vs Nigeria,5,2,3,0
Ghana vs Rwanda,9,4,4,1
Ghana vs Seychelles,1,0,1,0
Ghana vs Sierra Leone,4,1,3,0
Ghana vs South Africa,1,1,0,0
Ghana vs Swaziland,1,0,1,0
Ghana vs Tanzania,2,0,2,0
Ghana vs Uganda,4,3,1,0
Gibraltar vs Hungary,2,0,2,0
Gibraltar vs Jersey,2,0,2,0
Gibraltar vs Luxembourg,2,2,0,0
Gibraltar vs Malta,8,5,3,0
Gibraltar vs Norway,1,1,0,0
Gibraltar vs Portugal,8,2,6,0
Gibraltar vs Romania,2,0,2,0
Gibraltar vs Serbia,4,0,4,0
Gibraltar vs Slovenia,1,0,1,0
Gibraltar vs Spain,2,2,0,0
Gibraltar vs Sweden,1,0,1,0
Gibraltar vs Switzerland,1,0,1,0
Greece vs Isle of Man,4,1,3,0
Greece vs Malta,1,0,1,0
Greece vs Romania,2,1,1,0
Greece vs Serbia,2,1,1,0
Greece vs Spain,5,1,4,0
Greece vs Sweden,1,1,0,0
Guernsey vs Isle of Man,1,0,1,0
Guernsey vs Italy,1,0,1,0
Guernsey vs Jersey,6,3,3,0
Guernsey vs Luxembourg,1,1,0,0
Guernsey vs Malta,1,0,1,0
Guernsey vs Norway,4,2,2,0
Guernsey vs Slovenia,1,0,1,0
Guernsey vs Spain,2,0,2,0
Hong Kong vs India,2,2,0,0
Hong Kong vs Ireland,4,0,4,0
Hong Kong vs Japan,10,4,5,1
Hong Kong vs Jersey,1,1,0,0
Hong Kong vs Kuwait,12,6,5,1
Hong Kong vs Malaysia,17,12,5,0
Hong Kong vs Maldives,2,1,1,0
Hong Kong vs Mongolia,2,0,2,0
Hong Kong vs Myanmar,3,1,2,0
Hong Kong vs Namibia,2,1,1,0
Hong Kong vs Nepal,15,4,10,1
Hong Kong vs Netherlands,7,3,4,0
Hong Kong vs Nigeria,1,1,0,0
Hong Kong vs Oman,8,1,7,0
Hong Kong vs Pakistan,3,2,1,0
Hong Kong vs Papua New Guinea,8,4,4,0
Hong Kong vs Qatar,4,2,1,1
Hong Kong vs Saudi Arabia,1,1,0,0
Hong Kong vs Scotland,9,3,5,1
Hong Kong vs Singapore,4,2,2,0
Hong Kong vs South Korea,1,1,0,0
Hong Kong vs Tanzania,2,0,2,0
Hong Kong vs Thailand,5,3,2,0
Hong Kong vs Uganda,3,1,2,0
Hong Kong vs United Arab Emirates,17,9,8,0
Hong Kong vs Zimbabwe,2,1,1,0
Hungary vs Israel,2,1,1,0
Hungary vs Luxembourg,1,1,0,0
Hungary vs Malta,4,2,2,0
Hungary vs Portugal,1,1,0,0
Hungary vs Romania,3,1,2,0
ICC World XI vs Pakistan,3,2,1,0
ICC World XI vs West Indies,1,1,0,0
India vs Ireland,15,11,4,0
India vs Malaysia,3,2,0,1
India vs Namibia,1,0,1,0
India vs Nepal,3,2,1,0
India vs Netherlands,2,2,0,0
India vs New Zealand,80,45,29,6
India vs Pakistan,29,12,16,1
India vs Scotland,1,0,1,0
