venue,win_by_runs,win_by_wickets,matches_played
"Shaheed Veer Narayan Singh International Stadium, Raipur",10.0,4.0,2
Sharjah Cricket Stadium,19.490909090909092,3.5636363636363635,55
Sheikh Abu Naser Stadium,18.2,0.8,5
Sheikh Kamal International Cricket Stadium,47.0,4.0,2
Sheikh Zayed Stadium,32.529411764705884,2.803921568627451,51
"Sheikh Zayed Stadium, Abu Dhabi",10.88888888888889,2.111111111111111,9
Sher-e-Bangla National Cricket Stadium,103.0,0.0,1
Shere Bangla National Stadium,35.94444444444444,3.0,36
"Shere Bangla National Stadium, Mirpur",33.394366197183096,2.8309859154929575,71
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",0.0,7.0,1
"Sikh Union Club Ground, Nairobi",19.4375,2.5,16
"Simar Cricket Ground, Rome",25.583333333333332,2.5833333333333335,12
"Simonds Stadium, South Geelong",4.0,1.0,2
Singapore National Cricket Ground,9.529411764705882,3.235294117647059,17
Sinhalese Sports Club Ground,64.4,2.0,10
"Sinhalese Sports Club Ground, Colombo",64.8,2.6,5
Sir Vivian Richards Stadium,36.5,3.0,6
"Sir Vivian Richards Stadium, Antigua",74.2,4.8,5
"Sir Vivian Richards Stadium, North Sound",31.3,2.0,10
"Sir Vivian Richards Stadium, North Sound, Antigua",23.047619047619047,3.1904761904761907,42
Sky Stadium,16.0,3.5,2
"Sky Stadium, Wellington",0.0,6.0,1
"Solvangs Park, Glostrup",0.0,3.5,2
Sophia Gardens,36.4,3.1333333333333333,15
"Sophia Gardens, Cardiff",9.666666666666666,5.5,6
Southend Club Cricket Stadium,24.333333333333332,1.0,6
"Southend Club Cricket Stadium, Karachi",27.666666666666668,4.166666666666667,6
"Sportpark Harga, Schiedam",54.666666666666664,2.6666666666666665,3
Sportpark Het Schootsveld,21.428571428571427,2.2142857142857144,14
"Sportpark Het Schootsveld, Deventer",2.0,5.6,5
Sportpark Maarschalkerweerd,5.2,5.7,10
"Sportpark Maarschalkerweerd, Utrecht",21.136363636363637,3.0,22
Sportpark Westvliet,0.0,7.0,1
"Sportpark Westvliet, The Hague",14.538461538461538,2.0,13
"Sportpark Westvliet, Voorburg",2.3333333333333335,1.0,3
"St Albans Club, Buenos Aires",27.307692307692307,2.923076923076923,13
"St George's College Ground, Buenos Aires",34.111111111111114,1.6666666666666667,9
St George's Park,28.666666666666668,3.75,12
"St George's Park, Gqeberha",13.88888888888889,4.444444444444445,9
"St George's Park, Port Elizabeth",226.0,0.0,2
St Georges Quilmes,0.0,6.333333333333333,3
St Lawrence Ground,118.33333333333333,2.3333333333333335,3
"St Lawrence Ground, Canterbury",97.0,2.0,3
"Sunrise Sports Club, Harare",114.0,0.0,1
SuperSport Park,55.17391304347826,2.0434782608695654,23
"SuperSport Park, Centurion",27.823529411764707,3.0,17
"Svanholm Park, Brondby",32.81818181818182,4.090909090909091,11
Sydney Cricket Ground,44.65217391304348,1.5,46
Sydney Parade,58.5,0.0,2
Sydney Showground Stadium,20.0,0.0,4
Sylhet International Cricket Stadium,53.05882352941177,1.9705882352941178,34
"Sylhet International Cricket Stadium, Academy Ground",26.11111111111111,3.7777777777777777,9
