venue,win_by_runs,win_by_wickets,matches_played,venue_category
Greenfield International Stadium,2.0,5.666666666666667,3,Bowling-Friendly
"Greenfield International Stadium, Thiruvananthapuram",120.33333333333331,2.6666666666666665,3,Batting-Friendly
"Ground 1, Independence Park",9.5,6.666666666666667,6,Bowling-Friendly
"Ground 2, Independence Park",7.75,6.5,4,Bowling-Friendly
Gucherre Cricket Ground,38.0,2.6666666666666665,3,Batting-Friendly
"Guernsey Rovers Athletic Club Ground, Port Soif",12.923076923076923,3.923076923076923,13,Balanced
Guttsta Wicked Cricket Club,0.0,2.0,1,Balanced
"Gymkhana Club Ground, Dar-es-Salaam",32.0,4.714285714285714,7,Balanced
"Gymkhana Club Ground, Nairobi",25.424242424242426,3.484848484848485,33,Balanced
Hagley Oval,65.70833333333333,3.583333333333333,24,Balanced
"Hagley Oval, Christchurch",46.375,2.833333333333333,24,Batting-Friendly
Happy Valley Ground,8.75,3.625,16,Balanced
Harare Sports Club,30.275590551181104,2.858267716535433,127,Batting-Friendly
Hazelaarweg,14.2,0.8,5,Balanced
"Hazelaarweg, Rotterdam",22.375,1.625,8,Balanced
Headingley,48.46153846153846,2.1538461538461537,13,Batting-Friendly
"Headingley, Leeds",31.857142857142858,1.4285714285714286,7,Batting-Friendly
Himachal Pradesh Cricket Association Stadium,6.833333333333333,2.75,12,Balanced
"Himachal Pradesh Cricket Association Stadium, Dharamsala",34.857142857142854,2.4285714285714284,7,Batting-Friendly
Holkar Cricket Stadium,93.5,2.0,6,Batting-Friendly
"Holkar Cricket Stadium, Indore",59.5,2.25,4,Batting-Friendly
Hong Kong Cricket Club,31.25,4.125,8,Balanced
"Hurlingham Club Ground, Buenos Aires",26.6,2.066666666666667,15,Balanced
ICC Academy,25.375,1.90625,32,Balanced
ICC Academy Ground No 2,22.4,3.6,5,Balanced
"ICC Academy Ground No 2, Dubai",19.0,3.8,5,Balanced
"ICC Academy, Dubai",19.307692307692307,2.769230769230769,39,Balanced
ICC Global Cricket Academy,42.5,4.0,2,Balanced
"Independence Park, Port Vila",9.8,3.8,10,Balanced
Indian Association Ground,15.470588235294118,3.588235294117647,17,Balanced
"Indian Association Ground, Singapore",19.5,2.4,10,Balanced
Integrated Polytechnic Regional Centre,35.525,3.325,40,Balanced
International Sports Stadium,59.0,0.0,2,Batting-Friendly
JSCA International Stadium Complex,53.66666666666666,1.5,6,Batting-Friendly
"JSCA International Stadium Complex, Ranchi",5.25,4.75,4,Bowling-Friendly
Jinja Cricket Ground,8.5,4.0,2,Balanced
"John Davies Oval, Queenstown",34.3,1.6,10,Batting-Friendly
Johor Cricket Academy Oval,13.0,2.5,2,Balanced
Junction Oval,5.1,3.4,10,Balanced
"Junction Oval, Melbourne",4.2,4.2,5,Bowling-Friendly
Kaizuka Cricket Ground,0.75,4.0,4,Balanced
Karen Rolton Oval,95.0,0.0,1,Batting-Friendly
Kennington Oval,51.47619047619048,2.095238095238096,21,Batting-Friendly
"Kennington Oval, London",54.45454545454545,4.454545454545454,11,Balanced
"Kensington Oval, Barbados",50.875,4.5,8,Balanced
"Kensington Oval, Bridgetown",55.0,1.9090909090909087,11,Batting-Friendly
"Kensington Oval, Bridgetown, Barbados",13.09375,3.21875,32,Balanced
Kerava National Cricket Ground,24.64516129032258,4.032258064516129,31,Balanced
Khan Shaheb Osman Ali Stadium,1.6666666666666667,2.0,3,Balanced
Khettarama Stadium,137.0,0.0,1,Batting-Friendly
King George V Sports Ground,20.0,1.7777777777777777,9,Balanced
"King George V Sports Ground, Castel",35.15384615384615,3.8461538461538463,13,Balanced
Kingsmead,36.08695652173913,1.434782608695652,23,Batting-Friendly
"Kingsmead, Durban",70.66666666666667,2.7777777777777777,9,Batting-Friendly
Kinrara Academy Oval,29.64102564102564,2.5641025641025643,39,Balanced
"Kinrara Academy Oval, Kuala Lumpur",29.625,3.208333333333333,24,Balanced
Koge Cricket Club,27.666666666666668,1.6666666666666667,3,Balanced
Koge Cricket Club 2,68.5,0.0,2,Batting-Friendly
"Kotambi Stadium, Vadodara",108.66666666666669,1.6666666666666667,3,Batting-Friendly
Kyambogo Cricket Oval,20.5,4.333333333333333,6,Balanced
LC de Villiers Oval,0.0,7.0,1,Bowling-Friendly
La Manga Club Bottom Ground,12.866666666666667,6.133333333333334,15,Bowling-Friendly
La Manga Club Top Ground,24.454545454545453,3.272727272727273,11,Balanced
Lalabhai Contractor Stadium,41.75,1.25,4,Batting-Friendly
Las Caballerizas,0.0,0.0,1,Balanced
Lisicji Jarak Cricket Ground,31.875,4.5,8,Balanced
Lochlands,13.142857142857142,5.142857142857143,7,Bowling-Friendly
Lord's,75.04347826086956,1.2608695652173914,23,Batting-Friendly
"Lord's, London",65.6,1.3333333333333333,15,Batting-Friendly
Los Reyes Polo Club,41.0,0.0,4,Batting-Friendly
Lugogo Cricket Oval,21.33333333333333,0.0,3,Balanced
M Chinnaswamy Stadium,22.416666666666668,2.833333333333333,12,Balanced
"M Chinnaswamy Stadium, Bangalore",0.0,0.0,1,Balanced
"M Chinnaswamy Stadium, Bengaluru",57.63636363636363,2.4545454545454546,11,Batting-Friendly
M.Chinnaswamy Stadium,5.25,5.75,4,Bowling-Friendly
MA Chidambaram Stadium,272.0,0.0,2,Batting-Friendly
"MA Chidambaram Stadium, Chepauk",36.0,1.5555555555555556,9,Batting-Friendly
"MA Chidambaram Stadium, Chepauk, Chennai",31.3,3.7,10,Balanced
Maharashtra Cricket Association Stadium,66.4,2.0,10,Batting-Friendly
"Maharashtra Cricket Association Stadium, Pune",70.57142857142857,2.142857142857143,7,Batting-Friendly
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",68.57142857142857,3.0,7,Balanced
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26.666666666666668,4.5,6,Balanced
Malahide,60.25,2.0,4,Batting-Friendly
"Malahide, Dublin",17.5,0.0,2,Balanced
"Malek Cricket Ground, Ajman",13.5,4.0,4,Balanced
Mangaung Oval,61.0,1.5,8,Batting-Friendly
"Mangaung Oval, Bloemfontein",87.2,1.6,5,Batting-Friendly
Mannofield Park,20.5,3.1666666666666665,6,Balanced
"Mannofield Park, Aberdeen",30.0,1.6,5,Balanced
Manuka Oval,59.523809523809526,1.8571428571428568,21,Batting-Friendly
"Manuka Oval, Canberra",4.555555555555555,3.111111111111111,9,Balanced
"Maple Leaf North-West Ground, King City",24.454545454545453,2.5454545454545454,11,Balanced
"Marina Ground, Corfu",13.0,6.8,5,Bowling-Friendly
Marsa Sports Club,14.53448275862069,3.7413793103448274,58,Balanced
McLean Park,32.0,4.090909090909091,11,Balanced
"McLean Park, Napier",0.0,2.8,5,Balanced
"Meersen, Gent",5.4,4.4,5,Bowling-Friendly
Melbourne Cricket Ground,55.58974358974359,2.5384615384615383,39,Batting-Friendly
"Mission Road Ground, Mong Kok",31.4,3.2,5,Balanced
"Mission Road Ground, Mong Kok, Hong Kong",38.55172413793103,2.3793103448275863,29,Batting-Friendly
"Mladost Cricket Ground, Zagreb",60.2,3.6,5,Balanced
Moara Vlasiei Cricket Ground,28.33333333333333,2.0,3,Balanced
"Moara Vlasiei Cricket Ground, Ilfov County",15.12,4.08,25,Bowling-Friendly
"Moosa Cricket Stadium, Pearland",17.9,2.8,10,Balanced
Morodok Techo National Stadium,12.25,6.25,4,Bowling-Friendly
Mulpani Cricket Ground,14.857142857142858,3.2857142857142856,14,Balanced
Multan Cricket Stadium,75.5,1.0833333333333333,12,Batting-Friendly
Narendra Modi Stadium,9.857142857142858,4.714285714285714,7,Bowling-Friendly
